objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,96845510.2463086,50305.3250576014
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,52908459.4558746,34964.4063127174
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,248679106.10749,83939.7525126109
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.556911,207159134.052944,87075.8608238657
5,E06000005,Darlington, ,428029,515648,-1.56835,54.535339,198812770.766703,91926.8395447368
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,80285487.9637778,66618.9139640816
7,E06000007,Warrington, ,362744,388456,-2.56167,53.391628,178628103.877442,71840.6701053449
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.700802,139386372.837704,55099.1506569996
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,33695601.8226232,30031.4085097491
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.769199,71407321.383388,41191.8397440421
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.881119,2407736417.91607,342145.564461022
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,190515165.006191,79044.1915444976
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,851248285.548167,180169.926314651
14,E06000014,York, ,460864,452589,-1.07375,53.96582,275546399.143393,84074.3459372984
15,E06000015,Derby, ,435609,335375,-1.47189,52.914639,78270268.2160132,40201.8369858699
16,E06000016,Leicester, ,458946,304594,-1.1304,52.635921,73589165.1551815,40830.2301887648
17,E06000017,Rutland, ,492992,308655,-0.6263,52.667648,392185479.476861,96395.3187509407
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.954189,75870408.9551997,49574.8901430315
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.081539,2180535922.072,285426.725625786
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.714169,291802973.438348,93575.1938715029
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.017071,92988650.0173692,51304.0331368382
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.356041,348611816.210558,107062.696328699
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.471149,110320041.556104,58260.2369001114
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.397072,374705235.58232,113129.327916098
25,E06000025,South Gloucestershire, ,367559,183198,-2.46922,51.54673,499853753.458241,113237.408942731
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.404942,82446416.5613254,54633.3734333465
27,E06000027,Torbay, ,289730,64613,-3.55523,50.470921,65455906.7753854,55423.7203649039
28,E06000030,Swindon, ,418551,186564,-1.73367,51.577629,227720526.640504,83649.2541969921
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,342190158.161891,97196.0688186065
30,E06000032,Luton, ,508606,222559,-0.42319,51.891022,44068117.7992668,30772.5559397539
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.549171,44692735.3388276,36478.5882663396
32,E06000034,Thurrock, ,562123,181590,0.334861,51.509979,161110777.92156,71948.0397558899
33,E06000035,Medway, ,578207,175198,0.563174,51.44772,190967950.321515,115739.730006116
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.411301,108233672.335588,57917.0191370745
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.445591,701217777.186149,143114.430665935
36,E06000038,Reading, ,470226,173154,-0.99071,51.453018,41326311.0230767,30503.9475666706
37,E06000039,Slough, ,498920,179246,-0.57617,51.503502,32201925.6620175,37004.536781353
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.480339,197413883.654866,102626.060278227
39,E06000041,Wokingham, ,476624,169902,-0.89935,51.422958,179124859.588281,75874.0016677116
40,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.072411,309327268.513174,87925.407811011
41,E06000043,Brighton and Hove, ,530279,106850,-0.15079,50.8465,86830163.5380034,47744.1816987357
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.807999,38681182.1590738,46096.7968762791
43,E06000045,Southampton, ,442303,113700,-1.39952,50.9212,51302492.4578101,37824.5321233359
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.671291,380492164.757189,115358.163903429
45,E06000047,County Durham, ,410381,532242,-1.8405,54.685131,2231125517.26879,264032.927495837
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.167931,1168796057.5599,236392.416985265
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.163361,918494056.600467,226413.942405247
48,E06000051,Shropshire, ,350227,302960,-2.73667,52.62212,3188264185.45655,469624.124702053
49,E06000052,Cornwall, ,212497,64493,-4.64254,50.450218,3581790891.00093,555185.681446037
50,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.923321,14741027.0771833,42490.7678349198
51,E06000054,Wiltshire, ,405209,158863,-1.92661,51.328831,3258221477.74873,348922.106721655
52,E06000055,Bedford, ,505721,256463,-0.45463,52.196281,475803430.167866,115931.402375608
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.999031,709169826.97361,200740.568495412
54,E06000057,Northumberland, ,395322,600699,-2.07523,55.300369,5033705297.17021,445104.766524076
